cid,action,Full name,Shortened name,account,type,status,sent_time,sent,delivered,received,dnd,bad,spam,landline,err,skipped,replies,responses,delivered_percent,replies_percent
c_zjtlzwbdahbqh4ptde,13,62344_EmpowerSaves_OH_Text13_Struggling_MVCAP,Text13_Struggling_MVCAP,Ohio Partners for Affordable Energy,SMS,Archived,2025-06-03 19:22:27 GMT-0000,519,466,6,6,35,6,0,53,0,0,0,90,0
c_zjtlzwbdahbqh4ptde,14,62345_EmpowerSaves_OH_Text14_Relief_MVCAP,Text14_Relief_MVCAP,Ohio Partners for Affordable Energy,SMS,Archived,2025-06-03 19:24:16 GMT-0000,530,487,14,10,28,2,0,43,0,4,0,92,1
c_zjtlzwbdahbqh4ptde,15,62392_EmpowerSaves_OH_Text15_Improvements,Text15_Improvements,Ohio Partners for Affordable Energy,MMS,Archived,2025-06-11 22:04:24 GMT-0000,944,803,9,6,23,0,0,141,0,3,0,85,0
c_zjtlzwbdahbqh4ptde,16,62466_EmpowerSaves_OH_Text16_Improved_OHCAC,Text16_Improved_OHCAC,Ohio Partners for Affordable Energy,MMS,Archived,2025-06-21 15:08:05 GMT-0000,1050,967,9,8,44,0,0,83,0,1,0,92,0
c_zjtlzwbdahbqh4ptde,17,62486_ EmpowerSaves_OH_Text17_Improved_MVCAP,Text17_Improved_MVCAP,Ohio Partners for Affordable Energy,MMS,Archived,2025-06-21 15:11:26 GMT-0000,965,881,20,15,39,0,0,84,0,5,0,91,1
c_zjtlzwbdahbqh4ptde,18,62487_EmpowerSaves_OH_Text18_Improved_COAD,Text18_Improved_COAD,Ohio Partners for Affordable Energy,MMS,Archived,2025-06-21 15:18:54 GMT-0000,1287,1020,19,17,54,0,3,267,0,2,0,79,0
c_zjtlzwbdahbqh4ptde,20,62629_EmpowerSaves_OH_Text19_StayCool_IMPACT,Text19_StayCool_IMPACT,Ohio Partners for Affordable Energy,SMS,Archived,2025-07-09 22:18:40 GMT-0000,916,784,18,13,26,57,0,132,0,5,0,86,1
c_zjtlzwbdahbqh4ptde,19,62631_EmpowerSaves_OH_Text20_StayCool_COAD,Text20_StayCool_COAD,Ohio Partners for Affordable Energy,SMS,Archived,2025-07-09 22:15:17 GMT-0000,1217,837,37,29,189,169,0,380,0,8,0,69,1
c_zjtlzwbdahbqh4ptde,21,62632_EmpowerSaves_OH_Text21_StayCool_MVCAP,Text21_StayCool_MVCAP,Ohio Partners for Affordable Energy,SMS,Archived,2025-07-09 22:21:45 GMT-0000,910,870,5,5,30,1,0,40,0,0,0,96,0
c_zjtlzwbdahbqh4ptde,22,62633_EmpowerSaves_OH_Text22_StayCool_OHCAC,Text22_StayCool_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-07-09 22:24:57 GMT-0000,973,941,25,19,14,6,0,32,0,6,0,97,1
c_zjtlzwbdahbqh4ptde,24,62710_EmpowerSaves_OH_Text23_GetHelp_IMPACT_Morning,Text23_GetHelp_IMPACT_Morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-07-17 15:02:56 GMT-0000,421,388,5,4,2,1,0,33,0,1,0,92,0
